ShowID,Artist,ShowDate,EventOrFestival,VenueName,City,Country,RecordingType,Generation,Lineage,SourceEquipment,FolderName,FolderPath,MasterDriveName,MasterDriveID,RepVideoCount,RepVideoFiles,Container,VideoCodec,Width,Height,DurationSec,AspectRatio,TVStandard,AudioCodec,AudioChannels,AudioSampleRate,FileCount,TotalSizeBytes,TotalSizeHuman,ChecksumSHA1,DuplicateOf,Setlist,Notes,LastScannedAt,ExtractionWarnings
f490e03ba23b,30 Seconds to Mars,2011-08-26,,Reading Festival,Reading,England,Proshot,,BBCi broadcast (Astra 28.2e) > Technisat Skystar 2 > Project X > TMPGEnc MPEG Editor > .mpg file,,Reading Festival,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/Reading Festival,Seagate Expansion Drive,88435a962dae,1,30 Seconds To Mars - Live at Reading Festival 2011 (BBCi) 576i MPEG2.mpg,.mpg,,,,,,,,,,5,1236597500,1.15 GB,f45ae9d95bfbe4a6411e22ac38e44782e5fc4442,,Escape; A Beautiful Lie; The Kill; Closer to the Edge; Night of the Hunter; Kings & Queens,"---- Info.txt ----
30 Seconds to Mars
2011-08-26
Reading Festival, Reading, England 

Tracklist:

Escape
A Beautiful Lie
The Kill
Closer to the Edge
Night of the Hunter
Kings & Queens

** i've seen the track titles from the tv broadcast.
** sorry if i missed any track in the tracklist or mispelled any.

Plain .mpg file from the BBCi broadcast of Reading Festival 2011.

Duration: 0:39:43
Video: 720 x 576 (16:9) at 25.000 fps 3941kbps
Audio: MPEG Audio 48000Hz stereo 128kbps 

Lineage: BBCi broadcast (Astra 28.2e) > Technisat Skystar 2 > Project X > TMPGEnc MPEG Editor > .mpg file",2025-11-05 08:58:48,loc:comma
190cc8d719bb,30 Seconds to Mars,2013-09-14,,,,,Proshot,,cable TV Multishow HD > Philips DVD recorder with Hard Disk > TDK DVD-R > dvddecrypter (0 errors) > my Hard Disk,,2013 Rock In Rio DVD,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/2013 Rock In Rio DVD,Seagate Expansion Drive,88435a962dae,3,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB,.vob,,,,,,,,,,10,2659057124,2.48 GB,5b3a4ead5bebdc70ab3957c9c445d868852af41f,,Birth; Night of The Hunter; This is War; Conquistador; Do or Die; City of Angels; Pyres; Closer To The Edge; Up in The Air; General,"---- info 30.txt ----
30 Seconds To Mars 2013-09-14, Rock In Rio, Rio de Janeiro, Brazil TV broadcast DVD


Lineage: cable TV Multishow HD > Philips DVD recorder with Hard Disk > TDK DVD-R > dvddecrypter (0 errors) > my Hard Disk 

the cable tv is in HD, but my dvd recorder does not record in HD

the dvd has a standard menu, a chapter every 5 minutes



setlist( not sure if it is right):
Birth

Night of The Hunter

Search + Destroy

This is War

Conquistador

Do or Die

City of Angels

Pyres

Acoustic + The Kill

Closer To The Edge

Kings + Queens

Up in The Air


first vob info:
General
Complete name                            : D:\VIDEO_TS\VTS_01_1.VOB
Format                                   : MPEG-PS
File size                                : 1 024 MiB
Duration                                 : 30mn 0s
Overall bit rate                         : 4 769 Kbps

Video
ID                                       : 224 (0xE0)
Format                                   : MPEG Video
Format version                           : Version 2
Format profile                           : Main@Main
Format settings, BVOP                    : Yes
Format settings, Matrix                  : Custom
Format settings, GOP                     : M=3, N=15
Duration                                 : 30mn 0s
Bit rate                                 : 4 380 Kbps
Width                                    : 720 pixels
Height                                   : 480 pixels
Display aspect ratio                     : 4:3
Frame rate                               : 29.970 fps
Standard                                 : NTSC
Color space                              : YUV
Chroma subsampling                       : 4:2:0
Bit depth                                : 8 bits
Scan type                                : Interlaced
Scan order                               : Top Field First
Compression mode                         : Lossy
Bits/(Pixel*Frame)                       : 0.423
Time code of first frame                 : 01:22:38;13
Time code source                         : Group of pictures header
Stream size                              : 949 MiB (93%)

Audio
ID                                       : 189 (0xBD)-128 (0x80)
Format                                   : AC-3
Format/Info                              : Audio Coding 3
Mode extension                           : CM (complete main)
Format settings, Endianness              : Big
Muxing mode                              : DVD-Video
Duration                                 : 30mn 0s
Bit rate mode                            : Constant
Bit rate                                 : 256 Kbps
Channel(s)                               : 2 channels
Channel positions                        : Front: L R
Sampling rate                            : 48.0 KHz
Bit depth                                : 16 bits
Compression mode                         : Lossy
Delay relative to video                  : -504ms
Stream size                              : 55.0 MiB (5%)",2025-11-05 08:57:26,
c5f046a69778,30 Seconds to Mars,,,+ Kooks,PinkPop 2007,05,,,,,+ Kooks - PinkPop 2007-05-28,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/+ Kooks - PinkPop 2007-05-28,Seagate Expansion Drive,88435a962dae,1,VIDEO_TS/VTS_01_1.VOB,.vob,,,,,,,,,,12,1129451520,1.05 GB,7993d23fc77eff875857c03929e1f43e1fa014dd,,,,2025-11-05 08:57:23,loc:folder
18db15e03aa1,30 Seconds to Mars,,,16,9 recording,,,,,,16-9 recording,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/Rock am Ring 2010 (KO Master)/16-9 recording,Seagate Expansion Drive,88435a962dae,3,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB,.vob,,,,,,,,,,8,2910752768,2.71 GB,b0f367d814fc8ee9946af7d25496b3fa93345066,,,,2025-11-05 08:59:09,loc:folder
ecdcadbbb7c7,30 Seconds to Mars,,,4,3 recording,,,,,,4-3 recording,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/Rock am Ring 2010 (KO Master)/4-3 recording,Seagate Expansion Drive,88435a962dae,3,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB,.vob,,,,,,,,,,8,2916808704,2.72 GB,39ffbe526d33c61d708fbfef9e70ede90785be83,,,,2025-11-05 08:59:27,loc:folder
c9fb69e1d50f,30 Seconds to Mars,,,,,,,,,,BBC Radio 1,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/BBC Radio 1,Seagate Expansion Drive,88435a962dae,2,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB,.vob,,,,,,,,,,7,1742073856,1.62 GB,0def38154b66ea53c29b176726176a07d6b91238,,,,2025-11-05 08:57:45,
ac8f7ee6f87b,30 Seconds to Mars,,,,,,,,,,EMAs,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/EMAs,Seagate Expansion Drive,88435a962dae,1,VIDEO_TS/VTS_01_1.VOB,.vob,,,,,,,,,,10,701970436,669.45 MB,b1924c636bf589c46b9e7120cc36d8013fa1f049,,,,2025-11-05 08:57:57,
e37bbb716ee0,30 Seconds to Mars,,,,,,,,,,Last Call,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/Last Call,Seagate Expansion Drive,88435a962dae,2,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB,.vob,,,,,,,,,,28,4450676736,4.15 GB,90763a64a86462871aca0c6be1e69e302255c929,,,,2025-11-05 08:58:00,
e814e4732ab9,30 Seconds to Mars,,,,,,,,,,Late Show,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/Late Show,Seagate Expansion Drive,88435a962dae,1,VIDEO_TS/VTS_14_1.VOB,.vob,,,,,,,,,,3,281214976,268.19 MB,41d89968d5594afff25ab968beec3b6375a402cb,,,,2025-11-05 08:58:15,
bfbed218dd89,30 Seconds to Mars,,,,,,,,,,Malaysia 1080,/Volumes/Seagate Expansion Drive/Music Video/30 Seconds to Mars/Malaysia 1080,Seagate Expansion Drive,88435a962dae,1,30 Seconds to Mars - 2011-07-24 - Malaysia.ts,.ts,,,,,,,,,,1,4244400236,3.95 GB,1971211a1297fbaeeff2347a9f208bb397cae5cc,,,,2025-11-05 08:58:17,
