ShowID,Artist,ShowDate,EventOrFestival,VenueName,City,Country,RecordingType,Generation,Lineage,SourceEquipment,FolderName,FolderPath,MasterDriveName,MasterDriveID,RepVideoCount,RepVideoFiles,Container,VideoCodec,Width,Height,DurationSec,AspectRatio,TVStandard,AudioCodec,AudioChannels,AudioSampleRate,FileCount,TotalSizeBytes,TotalSizeHuman,ChecksumSHA1,DuplicateOf,Setlist,Notes,LastScannedAt,ExtractionWarnings
d39aa97c9faf,30 Seconds to Mars,,,30 Seconds to Mars + Kooks,PinkPop 2007,05,,,,,30 Seconds to Mars + Kooks - PinkPop 2007-05-28,/Volumes/Untitled/DVDs/30 Seconds to Mars + Kooks - PinkPop 2007-05-28,Untitled,e577ee538fcd,1,VIDEO_TS/VTS_01_1.VOB,.vob,mpeg2video,720,576,546,4:3 (native),PAL,ac3,2,48000,12,1129451520,1.05 GB,7993d23fc77eff875857c03929e1f43e1fa014dd,,,,2025-11-06 10:27:20,loc:folder
ce1fd8e209ba,30 Seconds to Mars,,,30 Seconds to Mars,Rock am Ring 2007 (Markus Master),,,Master,,,30 Seconds to Mars - Rock am Ring 2007 (Markus Master),/Volumes/Untitled/DVDs/30 Seconds to Mars - Rock am Ring 2007 (Markus Master),Untitled,e577ee538fcd,1,VIDEO_TS/VTS_01_1.VOB,.vob,mpeg2video,704,576,1154,4:3 (native),PAL,ac3,2,48000,5,784277504,747.95 MB,db798d051acfc16b5cded97093c550cc3e18c82e,,,,2025-11-06 10:27:36,loc:folder
cf00277b21e4,A Perfect Circle,,,A Perfect Circle,Irving Plaza 2000 (Hideki),,,,,,A Perfect Circle - Irving Plaza 2000 (Hideki),/Volumes/Untitled/DVDs/A Perfect Circle - Irving Plaza 2000 (Hideki),Untitled,e577ee538fcd,1,VTS_01_1.VOB,.vob,mpeg2video,720,480,2415,4:3 (native),NTSC,ac3,2,48000,5,885067776,844.07 MB,5ff11b6b024d6b1d765bfb8187c1175bfd1f1203,,,,2025-11-06 10:28:09,loc:folder
874d767567cd,A Perfect Circle,,,A Perfect Circle,Phoenix + Conan + Leno (Pete),,,,,,A Perfect Circle - Phoenix + Conan + Leno (Pete),/Volumes/Untitled/DVDs/A Perfect Circle - Phoenix + Conan + Leno (Pete),Untitled,e577ee538fcd,4,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB; VIDEO_TS/VTS_01_4.VOB,.vob,mpeg2video,720,480,16,4:3 (native),NTSC,ac3,2,48000,12,4074047488,3.79 GB,0cc60886edd730bfbb227702b476453904117650,,,,2025-11-06 10:28:48,loc:folder
d6b4e5882d1f,A Perfect Circle,,,A Perfect Circle,TV Collection (Master VHS Tapes),,Proshot,Master,,,A Perfect Circle - TV Collection (Master VHS Tapes),/Volumes/Untitled/DVDs/A Perfect Circle - TV Collection (Master VHS Tapes),Untitled,e577ee538fcd,2,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB,.vob,mpeg2video,720,480,993,4:3 (native),NTSC,ac3,2,48000,9,1182300287,1.10 GB,cd23cd68dad0939614bbd39c1e118657719084de,,A Perfect Circle; TV PROMOTION 2000-2004; i taped all these myself off television; except for the hollow. (i got that on a bootleg i bought); so all direct copies off my vhs except one; not bad; recorded in HQ mode (1 hr) from my vhs; NTSC; mpeg 2; frames 29.970; stereo 2 channel; sears vcr (made my jvc) to dvd recorder magnavox (model MWR10D6); all from my vhs tapes i purchased in the early days of my collecting (before the net was big); transfer 2009; bobcat,"---- apc tv.txt ----
A Perfect Circle
 TV PROMOTION 2000-2004

 
 01 the outsider   jay leno 2004 
 02 judith         conan obrien 2000
 03 the hollow     craig kilborn 2000 
 04 3 libras       jay leno 2004

 i taped all these myself off television 
 except for the hollow. (i got that on a bootleg i bought)

 so all direct copies off my vhs except one.
 not bad 

 recorded in HQ mode (1 hr) from my vhs


..................................................................................


NTSC
mpeg 2
10080 kbs/vbr
frames 29.970
720 x 480

audio: AC3 CBR 256 kb/s
stereo 2 channel 

sears vcr (made my jvc) to dvd recorder magnavox (model MWR10D6)

*used EDIT for picture quality from vcr to dvd (better for transferring and it does do what it says) using soft or the other settings isnt as good as edit. 
all from my vhs tapes i purchased in the early days of my collecting (before the net was big)

transfer 2009

bobcat",2025-11-06 10:31:16,loc:folder
75861c7dfdcd,Aerosmith,1994-01-21,,Aerosmith,Get a Grip in Rio De Janiero 1994,,Proshot,,,,Aerosmith - Get a Grip in Rio De Janiero 1994,/Volumes/Untitled/DVDs/Aerosmith - Get a Grip in Rio De Janiero 1994,Untitled,e577ee538fcd,6,VIDEO_TS/VTS_01_0.VOB; VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB; VIDEO_TS/VTS_01_4.VOB; VIDEO_TS/VTS_01_5.VOB,.vob,mpeg2video,720,480,191149,4:3 (native),NTSC,pcm_dvd,2,48000,18,4681366107,4.36 GB,48d0cb0d4967d9115dabe66db43d14d764a4949d,,This file was generated by xACT Software for MacOSX,"---- AeroRIO1994.txt ----
{\rtf1\mac\ansicpg10001\cocoartf824\cocoasubrtf420
{\fonttbl\f0\fswiss\fcharset77 Helvetica;}
{\colortbl;\red255\green255\blue255;}
\paperw11905\paperh16837\margl1440\margr1440\vieww9000\viewh8400\viewkind0
\pard\tx560\tx1120\tx1680\tx2240\tx2800\tx3360\tx3920\tx4480\tx5040\tx5600\tx6160\tx6720\ql\qnatural\pardirnatural

\f0\fs24 \cf0 Date\
1994-01-21\
\
Location:\
Rio De Janeiro\
\
Venue:\
Apoteose Square\
\
Tour:\
Get A Grip\
\
Video: Tv > Low Gen VHS > SA > DVD\
\
Tracklisting:\
\
1. Eat The Rich\
2. Young Lust\
3. Rag Doll\
4. What It Takes\
5. Fever\
6. Monkey On My Back\
7. Amazing\
8. The Other Side\
9. Cryin'\
10. Boogie Man\
11. Shut Up And Dance\
12. Walk On Down\
13. Mama Kin\
14. Janie's Got A Gun\
15. Love In An Elevator\
16. Dude (Looks Like A Lady)\
17. Sweet Emotion\
18. Dream On\
19. Livin' On The Edge\
20. Walk This Way\
	  	\
Type:\
Pro shot\
\
Duration:\
1h 47m\
\
Chapters available:\
Yes, every 5 min\
\
Number of cameras:\
Many\
\
Number of dvds:\
1 (4.29 GB)\
\
Audio quality:\
(5)*****\
\
Audio properties:\
Codec: PCM\
Other: 48000Hz, 256 kb/s, stereo (2/0)\
\
Video quality:\
(4)****\
\
Video properties:\
Codec: MPEG2\
Format: NTSC\
Resolution: 720 x 480\
FPS: 29.970\
Display Aspect Ratio: 1.333 (4:3)\
\
Stream: VTS_01_1.VOB\
Path: ~/Documents/Azureus Downloads/Get a Grip in Rio De Janiero 1994/VIDEO_TS/VTS_01_1.VOB\
Type: VOB program stream\
\
Duration: 1:39:09\
Data Size: 4.29 GB\
Bit Rate: 6.19 Mbps\
\
Video Tracks:\
224 MPEG-2, 720 \uc0\u215  480, 4:3, 29.97 fps, 7.26 Mbps, upper field first\
\
Audio Tracks:\
160 PCM stereo, 48 kHz, 1.54 Mbps\
\
Stream Files:\
VTS_01_1.VOB (1024.00 MB)\
VTS_01_2.VOB (1024.00 MB)\
VTS_01_3.VOB (1024.00 MB)\
VTS_01_4.VOB (1024.00 MB)\
VTS_01_5.VOB (295.90 MB)\
}

---- Rio1994.txt ----
MD5 Checksums was created on 2007 - 11 - 17 at 10:00pm
This file was generated by xACT Software for MacOSX



a2c5a56cd10fed0fccf2fef0478a59cc *VIDEO_TS.BUP
a2c5a56cd10fed0fccf2fef0478a59cc *VIDEO_TS.IFO
b840faff1ec1011e35301f06adef6f96 *VTS_01_0.BUP
b840faff1ec1011e35301f06adef6f96 *VTS_01_0.IFO
13e163b814d764d881f03ed3fccd51fb *VTS_01_0.VOB
a67846fb1794e10eb34a4206a0d0a27b *VTS_01_1.VOB
dec1db3cd6c5e259ce5c458dba3b8de1 *VTS_01_2.VOB
bc5fc588244f570a4d56272db9cb9dd0 *VTS_01_3.VOB
72a78a39783479757ae93964ab37f423 *VTS_01_4.VOB
ef2cd0b3d8f2dad7228965ba63ceaecc *VTS_01_5.VOB",2025-11-06 10:34:36,loc:folder
79054963cf02,Aerosmith,2099-12-31,,Aerosmith,12,31,,,,,Aerosmith - 12-31-99 Countdown in Osaka DVD Pro,/Volumes/Untitled/DVDs/Aerosmith - 12-31-99 Countdown in Osaka DVD Pro,Untitled,e577ee538fcd,5,VIDEO_TS/VTS_01_0.VOB; VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB; VIDEO_TS/VTS_01_4.VOB,.vob,mpeg2video,720,480,7069,4:3 (native),NTSC,mp2,2,48000,13,3755947042,3.50 GB,7f8aef79b9beefbd8246a47f1fd3ce0dbfe20f17,,AEROSMITH; Osaka Dome; Osaka Japan; Pro Shot DVD; Eat The Rich; Falling In Love; Same Old Song And Dance; Love In An Elevator; Livin' On The Edge; Rag Doll; Dream On; Janie's Got A Gun; One Way Street; Big Ten Inch Record; Pink; Let The Music Do The Talking; Stop Messin' Round; Mother Popcorn; Walk This Way; I Don't Want To Miss A Thing; Cryin'; Dude; Chip Away The Stone; Mama Kin; Train Kept A Rollin'; Count Down To 2000; Full Circle; Sweet Emotion; Heartbreaker,"---- info.txt ----
AEROSMITH
Osaka Dome
Osaka Japan
12-31-99
Pro Shot DVD

Resolution: 720x480
FPS: 29.97
Screen: 4:3
Format: NTSC
Bitrate: 4262

Menu:Yes

Eat The Rich
Falling In Love
Same Old Song And Dance
Love In An Elevator
Livin' On The Edge
Rag Doll
Dream On
Janie's Got A Gun
One Way Street
Big Ten Inch Record (Intro)
Pink
Let The Music Do The Talking
Stop Messin' Round
Mother Popcorn
Walk This Way
I Don't Want To Miss A Thing
Cryin'
Dude
Chip Away The Stone
Mama Kin
Train Kept A Rollin'

Count Down To 2000

Full Circle
Sweet Emotion
Heartbreaker",2025-11-06 10:32:03,loc:folder
70814d140c7d,Aerosmith,,,Aerosmith,Gwardia Stadium Poland 1994,,,,,,Aerosmith - Gwardia Stadium Poland 1994,/Volumes/Untitled/DVDs/Aerosmith - Gwardia Stadium Poland 1994,Untitled,e577ee538fcd,1,VTS_01_1.VOB,.vob,mpeg2video,720,480,14,4:3 (native),NTSC,ac3,2,48000,9,3893364736,3.63 GB,ba1d53e0a655e738b605bfe24906c67e78594925,,,,2025-11-06 10:37:44,loc:folder
cd0640a069ab,Aerosmith,,,Aerosmith,Osaka Japan 1999 (Upgrade Version),,,,,,Aerosmith - Osaka Japan 1999 (Upgrade Version),/Volumes/Untitled/DVDs/Aerosmith - Osaka Japan 1999 (Upgrade Version),Untitled,e577ee538fcd,5,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB; VIDEO_TS/VTS_01_4.VOB; VIDEO_TS/VTS_01_5.VOB,.vob,mpeg2video,720,480,7242,4:3 (native),NTSC,ac3,2,48000,10,4572901376,4.26 GB,17c1d1a4d4761b340ad8548f45cdc867157cbe05,,,,2025-11-06 10:38:30,loc:folder
61bb022081de,Aerosmith,,,Aerosmith,Spring Break 97 + more (compilation #123),,,,,,Aerosmith - Spring Break 97 + more (compilation #123),/Volumes/Untitled/DVDs/Aerosmith - Spring Break 97 + more (compilation #123),Untitled,e577ee538fcd,1,VTS_01_1.VOB,.vob,mpeg2video,704,480,14,4:3 (native),NTSC,ac3,2,48000,16,2902071296,2.70 GB,d07837336924d0b53af89fb4ad7c6a0fa108f089,,,,2025-11-06 10:43:13,loc:folder
